Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,BAGES,08012,AVINYO,3,INDUSTRIAL,14305284,
2013,BARCELONA,BAGES,08012,AVINYO,4,CONSTRUCCIO I OBRES PUBLIQUES,4972,
2013,BARCELONA,BAGES,08012,AVINYO,6,TERCIARI,3354343,
2013,BARCELONA,BAGES,08012,AVINYO,7,USOS DOMESTICS,3247849,
2013,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,1,PRIMARI,72021,
2013,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,4,CONSTRUCCIO I OBRES PUBLIQUES,70994,
2013,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,6,TERCIARI,1990293,
2013,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,7,USOS DOMESTICS,2928307,
2013,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,3,INDUSTRIAL,1799580,
2013,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,4,CONSTRUCCIO I OBRES PUBLIQUES,91399,
2013,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,6,TERCIARI,2207829,
2013,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,7,USOS DOMESTICS,3441244,
2013,BARCELONA,BARCELONES,08015,BADALONA,1,PRIMARI,158753,
2013,BARCELONA,BARCELONES,08015,BADALONA,3,INDUSTRIAL,79514177,
2013,BARCELONA,BARCELONES,08015,BADALONA,4,CONSTRUCCIO I OBRES PUBLIQUES,1448433,
2013,BARCELONA,BARCELONES,08015,BADALONA,5,TRANSPORT,,Dada subjecta a secret estadístic.
2013,BARCELONA,BARCELONES,08015,BADALONA,6,TERCIARI,228470450,
2013,BARCELONA,BARCELONES,08015,BADALONA,7,USOS DOMESTICS,225635678,
2013,BARCELONA,BERGUEDA,08016,BAGA,1,PRIMARI,46883,
2013,BARCELONA,BERGUEDA,08016,BAGA,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,BERGUEDA,08016,BAGA,4,CONSTRUCCIO I OBRES PUBLIQUES,37475,
2013,BARCELONA,BERGUEDA,08016,BAGA,6,TERCIARI,3536104,
2013,BARCELONA,BERGUEDA,08016,BAGA,7,USOS DOMESTICS,4279600,
2013,BARCELONA,OSONA,08017,BALENYA,1,PRIMARI,313039,
2013,BARCELONA,OSONA,08017,BALENYA,3,INDUSTRIAL,8709772,
2013,BARCELONA,OSONA,08017,BALENYA,4,CONSTRUCCIO I OBRES PUBLIQUES,94420,
2013,BARCELONA,OSONA,08017,BALENYA,6,TERCIARI,6890257,
2013,BARCELONA,OSONA,08017,BALENYA,7,USOS DOMESTICS,4187390,
2013,BARCELONA,BAGES,08018,BALSARENY,1,PRIMARI,293406,
2013,BARCELONA,BAGES,08018,BALSARENY,3,INDUSTRIAL,13075016,Inclou el consum del sector energètic.
